NAME, ADDRESS, MAP, TELEPHONE, TYPE, URL
" Kona Brewing Co","74-5612 Pawai Pl Kailua Kona, HI 96740- | ",Map,Phone: (808) 334-1133,Type: Regional,www.konabrewingco.com
"(405) Brewing Co","1716 Topeka St Norman, OK 73069-8224 | ",Map,Phone: (405) 816-0490,Type: Micro,www.405brewing.com
"(512) Brewing Co","407 Radam Ln Ste F200 Austin, TX 78745-1197 | ",Map,Phone: (512) 921-1545,Type: Micro,www.512brewing.com
"10 Barrel Brewing Co","62970 18th St Bend, OR 97701-9847 | ",Map,Phone: (541) 585-1007,Type: Large,www.10barrel.com
"10 Barrel Brewing Co","830 W Bannock St Boise, ID 83702-5857 | ",Map,Phone: (541) 678-5228,Type: Large,www.10barrel.com
"10 Barrel Brewing Co","1411 NW Flanders St Portland, OR 97209-2620 | ",Map,Phone: (541) 585-1007,Type: Large,www.10barrel.com
"10 Barrel Brewing Co","1501 E St San Diego, CA 92101 | ",Map,Phone: (619) 578-2311,Type: Large,10barrel.com
"10 Barrel Brewing Co - Denver","2620 Walnut St Denver, CO 80205 | ",Map,Phone: (720) 573-8992,Type: Large,
"101 Brewery","294793 US Highway 101 Quilcene, WA 98376-9000 | ",Map,Phone: (360) 765-6485,Type: Brewpub,www.101brewery.com
"101 North Brewing Company","1304 Scott St Ste D Petaluma, CA 94954-7100 | ",Map,Phone: (707) 753-4934,Type: Micro,www.101northbeer.com
"105 West Brewing Co","1043 Park St Castle Rock, CO 80109-1585 | ",Map,Phone: (303) 325-7321,Type: Micro,www.105westbrewing.com
"10K Brewing","2005 2nd Ave Anoka, MN 55303-2243 | ",Map,Phone: (763) 392-4753,Type: Micro,10KBrew.com
"10th District Brewing Company","491 Washington St Abington, MA 02351-2419 | ",Map,Phone: (781) 307-1554,Type: Micro,www.10thdistrictbrewing.com
"11 Below Brewing Company","6820 Bourgeois Rd Houston, TX 77066-3107 | ",Map,Phone: (281) 444-2337,Type: Micro,www.11belowbrewing.com
"1188 Brewing Co","141 E Main St John Day, OR 97845-1210 | ",Map,Phone: (541) 575-1188,Type: Brewpub,www.1188brewing.com
"12 Gates Brewing Company","80 Earhart Dr Ste 20 Williamsville, NY 14221-7804 | ",Map,Phone: (716) 906-6600,Type: Micro,www.12gatesbrewing.com
"12 West Brewing Company","3000 E Ray Rd Bldg 6 Gilbert, AZ 85296-7832 | ",Map,Phone: (602) 339-5014,Type: Micro,www.12westbrewing.com
"12 West Brewing Company - Production Facility"," Mesa, AZ 85207",Map,,Type: Micro,
"127 Brewing","3090 Shirley Dr Jackson, MI 49201-7010 | ",Map,Phone: (517) 258-1346,Type: Micro,
"12Degree Brewing","820 Main St Louisville, CO 80027-1865 | ",Map,Phone: (303) 579-1004,Type: Brewpub,www.12degree.com
"12welve Eyes Brewing"," Saint Paul, MN 55101-1627",Map,,Type: Planning,12welveEyes.com
"13 Below Brewery"," Cincinnati, OH 45233-1013",Map,Phone: (513) 975-0613,Type: Planning,www.13belowbrewery.com
"13 Stripes Brewery","250 Mill St, Suite PW3101 Taylors, SC 29687 | ",Map,Phone: (864) 349-1430,Type: Brewpub,www.13StripesBrewery.com
"13 Virtues Brewing Co","6410 SE Milwaukie Ave Portland, OR 97202-5518 | ",Map,Phone: (503) 239-3831,Type: Brewpub,www.13virtuesbrewing.com
"1323 R & D"," Raleigh, NC 27603-1117",Map,,Type: Planning,
"1487 Brewery","8480 Jersey Mill Rd Alexandria, OH 43001-9790 | ",Map,,Type: Micro,
"14er Brewing Company","981 E 70th Ave Unit L Denver, CO 80229-6811 | ",Map,Phone: (720) 773-1437,Type: Micro,www.14erBrewing.com
"14th Star Brewing","133 N Main St Ste 7 Saint Albans, VT 05478-1735 | ",Map,Phone: (802) 528-5988,Type: Micro,www.14thstarbrewing.com
"16 Mile Brewing Co","413 S Bedford St Georgetown, DE 19947-1849 | ",Map,Phone: (302) 253-8816,Type: Micro,www.16milebrewery.com
"160ft Beerworks","1310 Nance St Houston, TX 77002-1181 | ",Map,Phone: (315) 561-1211,Type: Micro,www.160ftbeerworks.com
"1781 Brewing Company","11109 Plank Rd Spotsylvania, VA 22553-4258 | ",Map,,Type: Micro,
"17th State Brewing Company"," Cleveland, OH ",Map,,Type: Contract,www.17statebrewco.com
"180 and Tapped","2010 A State Ave Coraopolis, PA 15108 | ",Map,Phone: (412) 737-5273,Type: Micro,www.180andtapped.com
"1817 Brewery","100 B South Olive St okolona, MS 38860 | ",Map,Phone: (662) 305-5907,Type: Micro,
"18th Street Brewery","5417 N. Oakley Ave Hammond, IN 46320-1817 | ",Map,,Type: Micro,
"18th Street Brewery","5725 Miller Ave Gary, IN 46403-2871 | ",Map,,Type: Micro,www.18thstreetbrewery.com
"1905 Brewing Company"," Assumption, IL 62510",Map,Phone: (217) 254-9374,Type: Planning,1905BrewingCompany.com
"1912 Brewing","2045 N Forbes Blvd Ste 105 Tucson, AZ 85745-1444 | ",Map,Phone: (520) 256-4851,Type: Micro,www.1912brewing.com
"192 Brewing","7324 NE 175th St Kenmore, WA 98028-2500 | ",Map,Phone: (425) 424-2337,Type: Brewpub,www.192brewing.com
"1940's Brewing Company","1337 Lincoln Ave Unit 1 Holbrook, NY 11741-2275 | ",Map,Phone: 631-533-4838,Type: Micro,www.1940sbrewingcompany.com
"1984 Brewing LLC"," Dawsonville, GA 30534",Map,Phone: (678) 392-5815,Type: Planning,
"1st Republic Brewing Co","39 River Rd Ste 6 Essex Junction, VT 05452-3879 | ",Map,Phone: (802) 857-5318,Type: Micro,www.1strepublic-homebrew.com
"2 Basset Brewery","202 E Main St White Sulphur Springs, MT 59645-9081 | ",Map,Phone: (406) 547-2337,Type: Micro,www.2bassetbrewery.com
"2 Dogz and A Guy Brewing","228 Church St Montrose, PA 18801 | ",Map,Phone: (570) 432-0069,Type: Micro,2dogzandaguybrewing.com
"2 Feet Brewing Company","80 Columbia St Bangor, ME 04401-6319 | ",Map,Phone: 207-573-1979  ,Type: Brewpub,www.2feetbrewing.com
"2 Row Brewing","6856 S 300 W Midvale, UT 84047-1083 | ",Map,Phone: (801) 987-8663,Type: Micro,www.2rowbrewing.com
"2 Silos Brewing Company","3931 Avion Park Court Chantilly, VA 20151 | ",Map,Phone: (703) 547-4457,Type: Micro,2silosbrewing.com
"2 Tones Brewing Co."," Whitehall, OH 43213-1308",Map,,Type: Micro,www.2tonesbrewingco.com
"2 Tread Brewing Co"," Santa Rosa, CA 95401-6399",Map,Phone: (415) 233-0857,Type: Planning,www.2treadbrewing.com
